Tanggal,Latitude,Longitude
2024-04-26,-3.41167,104.25365
2024-04-26,-3.40473,104.25856
2024-04-27,-3.44030,104.24416
2024-04-27,-3.41001,104.26214
2024-04-27,-3.40542,104.26751
2024-04-27,-3.44005,104.24288
2024-04-27,-3.39895,104.26581
2024-04-27,-3.43997,104.24249
2024-04-28,-3.39366,104.26300
2024-04-28,-3.43949,104.24177
2024-04-28,-3.39577,104.26148
2024-04-28,-3.43804,104.24260
2024-04-28,-3.39935,104.26452
2024-04-28,-3.40034,104.26590
2024-04-29,-3.43758,104.24298
2024-04-29,-3.40141,104.26373
2024-04-29,-3.40430,104.26300
2024-04-29,-3.43936,104.23910
2024-04-29,-3.41042,104.26904
2024-04-29,-3.41079,104.27070
2024-04-30,-3.43970,104.23899
2024-04-30,-3.44009,104.23863
2024-04-30,-3.40657,104.27857
2024-04-30,-3.40901,104.27660
2024-04-30,-3.44065,104.23829
2024-04-30,-3.39887,104.27511
2024-05-01,-3.39921,104.27258
2024-05-01,-3.43876,104.23719
2024-05-01,-3.41877,104.27067
2024-05-01,-3.44007,104.23498
2024-05-01,-3.41827,104.26770
2024-05-01,-3.42328,104.27626
2024-05-02,-3.44078,104.23495
2024-05-02,-3.42018,104.28290
2024-05-02,-3.43955,104.23247
2024-05-02,-3.40529,104.27839
2024-05-02,-3.43772,104.22407
2024-05-02,-3.39150,104.26273
2024-05-03,-3.39335,104.26296
2024-05-03,-3.44094,104.22052
2024-05-03,-3.420277,104.25785
2024-05-03,-3.42792,104.23722
2024-05-03,-3.42146,104.24596
2024-05-03,-3.39814,104.24603
2024-05-04,-3.39985,104.25139
2024-05-04,-3.43251,104.25049
2024-05-04,-3.43132,104.24289
2024-05-04,-3.43107,104.24270
2024-05-04,-3.43142,104.24192
2024-05-04,-3.43268,104.24174
2024-05-05,-3.43407,104.24199
2024-05-05,-3.43442,104.24224
2024-05-05,-3.41941,104.22673
2024-05-05,-3.41958,104.22710
2024-05-05,-3.42019,104.22782
2024-05-05,-3.42145,104.22729
2024-05-06,-3.42249,104.22862
2024-05-06,-3.42297,104.22866
2024-05-06,-3.42307,104.22856
2024-05-06,-3.42365,104.22838
2024-05-06,-3.42480,104.22729
2024-05-06,-3.42567,104.22708
2024-05-07,-3.42574,104.22717
2024-05-07,-3.42418,104.22872
2024-05-07,-3.42437,104.22874
2024-05-07,-3.42469,104.22885
2024-05-07,-3.42482,104.22875
2024-05-07,-3.42454,104.22960
2024-05-08,-3.42394,104.22993
2024-05-08,-3.42379,104.22997
2024-05-08,-3.42391,104.23027
2024-05-08,-3.42432,104.23218
2024-05-08,-3.42382,104.23256
2024-05-08,-3.42399,104.23272
2024-05-09,-3.42458,104.23277
2024-05-09,-3.42474,104.23257
2024-05-09,-3.42361,104.23345
2024-05-09,-3.42271,104.23367
2024-05-09,-3.42120,104.23548
2024-05-09,-3.42173,104.23601
2024-05-10,-3.42137,104.23761
2024-05-10,-3.42173,104.23749
